"Organization","ID/CDC","Administration","Tested Grade","STAAR - Mathematics|Tests Taken","STAAR - Mathematics|Average Scale Score","STAAR - Mathematics|Performance Levels|Did Not Meet|Count","STAAR - Mathematics|Performance Levels|Did Not Meet|Percentage","STAAR - Mathematics|Performance Levels|Approaches and Above|Count","STAAR - Mathematics|Performance Levels|Approaches and Above|Percentage","STAAR - Mathematics|Performance Levels|Meets and Above|Count","STAAR - Mathematics|Performance Levels|Meets and Above|Percentage","STAAR - Mathematics|Performance Levels|Masters|Count","STAAR - Mathematics|Performance Levels|Masters|Percentage"
"LITTLE ELM ISD","061914","Spring 2025","8","644","1861","189","29","455","71","290","45","109","17"
"LITTLEFIELD ISD","140904","Spring 2025","8","86","1829","29","34","57","66","31","36","9","10"
"LIVINGSTON ISD","187907","Spring 2025","8","300","1842","92","31","208","69","139","46","36","12"
"LLANO ISD","150901","Spring 2025","8","151","1879","51","34","100","66","73","48","39","26"
"LOCKHART ISD","028902","Spring 2025","8","544","1894","159","29","385","71","273","50","161","30"
"LOCKNEY ISD","077902","Spring 2025","8","27","1864","5","19","22","81","15","56","3","11"
"LOHN ISD","160905","Spring 2025","8","6","1804","1","17","5","83","1","17","0","0"
"LOMETA ISD","141902","Spring 2025","8","22","1768","14","64","8","36","4","18","2","9"
"LONDON ISD","178906","Spring 2025","8","108","1837","24","22","84","78","41","38","8","7"
"LONE OAK ISD","116906","Spring 2025","8","97","1842","31","32","66","68","43","44","9","9"
"LONE STAR SCHOOL DISTRICT","227622","Spring 2025","8","2","","","","","","","","",""
